"STUDY_ID","REVIEWERS","INCLUDE","title","abstract","reviewer"
1,NA,"not vetted","Weed management in organic dryland wheat production in the Pacific Northwest","Growth in demand for organic small grains has increased interest in producing certified organic crops in the semiarid US Pacific Northwest. The region is well-suited for small grain production, and there is a strong market for organic food products on the US West Coast. However, many growers encounter significant and persistent challenges with weed management, particularly management of perennial weeds such as Canada thistle [Cirsium arvense (L.) Scop.] and field bindweed (Convolvulus arvensis L.), but also common winter and spring annual grass weeds including cheatgrass (Bromus tectorum L.) and wild oat (Avena fatua L.). Coupled with the need to minimize soil disturbance, weed management can become nearly intractable and production limiting. From 2004 to 2024, several short and intermediate studies have been conducted to assess weed control tactics and crop rotation effects on weed management. Lessons learned include incorporating alfalfa (Medicago sativa L.) and spring barley (Hordeum vulgare L.) into rotations for suppression of field bindweed, or alfalfa and winter triticale (x Triticosecale Wittmack) for suppression of Canada thistle. Optimization of cultural inputs, particularly seeding rate, are critical for each crop in rotation. Animal integration and new crops such as quinoa (Chenopodium quinoa Willd.) are alternatives to conventional crops and potentially profitable. Incorporation of precision mechanical and chemical systems is feasible in narrow-row cereals, and when combined with crop rotation, it could reduce or eliminate the need for repeated transitions back to convention production for organic growers.Weed management for organic cereal production in the Pacific Northwest requires the use of all of the above approach. Crop rotation, diversification, and optimized cultural inputs are essential for the management of perennial weeds. The combination of mechanical weed control and precision guidance systems is essential for organic weed management. Organic herbicides are economically feasible to use when combined with an optical sensor sprayer system.","Marta"
2,NA,"not vetted","Camelina as a Rotation Crop for Weed Control in Organic Farming in a Semiarid Mediterranean Climate","Crop rotation in winter cereals in semiarid Mediterranean climates is highly desirable to prevent weed infestations, but the climatic conditions make it difficult to implement alternative crops to winter cereals. Camelina (Camelina sativa (L.) Crantz) is an interesting option, as it is able to produce profitable yields thanks to its tolerance to cold and drought. In this work, three autumn-winter sowing dates (SD1, October; SD2, December; SD3, January) and two sowing rates (R1, 8 kg ha(-1); R2, 11 kg ha(-1)) were chosen to evaluate the effectiveness of these cultural methods to control weeds over three seasons, and to determine effects on camelina seed yield. Results showed that a significant reduction of weed coverage was obtained by delaying the sowing date. Sowing rates did not show differences in weed coverage. In contrast, no apparent yield penalty was observed among sowing dates and rates. These results show that the introduction of camelina as a rotational crop in semiarid Mediterranean climates is a feasible option for helping to suppress winter weeds, as well as to provide productive seed yield in these climatic conditions.","Marta"
3,NA,"not vetted","Dryland Pea Production and Water Use Responses to Tillage, Crop Rotation, and Weed Management Practice","Pea (Pisum sativum L.) has been used to replace fallow and to sustain dryland crop yields in arid and semiarid regions, but information to optimize its management is required. We evaluated pea growth, yield, and water use in response to tillage, crop rotation, and weed management practice from 2005 to 2010 in the northern Great Plains, United States. Tillage systems were no-tillage and conventional tillage, and crop rotations were spring wheat (Triticum aestivum L.)-pea (W-P), spring wheat-forage barley (Hordeum vulgaris L.)-pea (W-B-P), and spring wheat-forage barley-corn (Zea mays L.)-pea (W-B-C-P). Weed managements were traditional (conventional seeding rates, early planting, broadcast N fertilization, and reduced stubble height) and improved (variable seeding rates, delayed planting, banded N fertilization, and increased stubble height) practices. Pea plant stand, height, pod number, grain and biomass yields, and water-use efficiency (WUE) were 4 to 23% greater with the improved than the traditional weed management practice, but seed number per pod was 5% greater with the traditional practice. Plant height, pod number, biomass and grain yields, preplant and post-harvest soil water contents, and WUE were 2 to 51% greater with W-B-P and W-B-C-P than W-P. Pea yield and WUE increased with extended crop rotation with nonlegumes and the improved weed management due to enhanced plant growth and seed characteristics as a result of greater soil water availability, seeding rate, and wheat stubble height. Dryland pea yield and water use can be enhanced by using extended diversified crop rotations and by increasing seeding rate and wheat stubble height.","Marta"
4,NA,"not vetted","Sheep grazing to control weeds enhances soil carbon, not nitrogen","Sheep (Ovis aries L.) grazing on weeds and crop residue during the fallow period may enhance soil carbon (C) and nitrogen (N) through urine and faeces returned to the soil. We compared sheep grazing, tillage, and herbicide application as weed management practices on soil total C (STC), total N (STN), ammonium (NH4+)-N, and nitrate (NO3-)-N contents in a dryland 5-year crop rotation from 2012 to 2015 in the northern Great Plains, USA. The treatments were sheep grazing with no chemical input in organic crop production (GO), minimum tillage with chemical inputs (MT), and conventional tillage with no chemical input in organic crop production (TO). The 5-year crop rotation was safflower (Carthamus tinctorius L.)/sweet clover (Melilotus officinalis L.) cover crop-sweet clover cover crop-winter wheat (Triticum aestivum L.)-lentil (Lens culinaris L.)-winter wheat. At the 0-1.20 m depth, STC was 14-20 Mg C ha(-1) greater in GO than MT and TO, but STN was 2.1-2.2 Mg N ha(-1) greater in TO than GO and MT. The NH4+-N and NO3--N contents were 5 21 kg N ha(-1) greater in MT than GO and TO. While STC and STN tended to increase with year for all treatments, NH4+-N and NO3--N contents varied with treatments and years. Sheep grazing enhanced soil C storage, but had a variable effect on N storage and residual N compared to tillage and herbicide application for weed control.","Marta"
5,NA,"not vetted","Management and Tillage Influence Barley Forage Productivity and Water Use in Dryland Cropping Systems","Annual cereal forages are resilient in water use (WU), water use efficiency (WUE), and weed control compared with grain crops in dryland systems. The combined influence of tillage and management systems on annual cereal forage productivity and WU is not well documented. We conducted a field study for the effects of tillage (no-till and tilled) and management (ecological and conventional) systems on WU and performance of forage barley (Hordeum vulgare L.) and weed biomass in two crop rotations (wheat [Triticum aestivum L.]-forage barley-pea [Pisum sativum L.] and wheat-forage barley-corn [Zea mays L.] -pea) from 2004 to 2010 in eastern Montana. Conventional management included recommended seeding rates, broadcast N fertilization, and short stubble height of wheat. Ecological management included 33% greater seeding rates, banded N fertilization at planting, and taller wheat stubble. Forage barley in ecological management had 28 more plants m(-2), 2 cm greater height, 65 more tillers m(-2), 606 kg ha(-1) greater crop biomass, 3.5 kg ha(-1) mm(-1) greater WUE, and 47% reduction in weed biomass at harvest than in conventional management. Pre-plant and post-harvest soil water contents were similar among tillage and management systems, but barley WU was 13 mm greater in 4-yr than 3-yr rotation. Tillage had little effect on barley performance and WU. Dryland forage barley with higher seeding rate and banded N fertilization in more diversified rotation produced more yield and used water more efficiently than that with conventional seeding rate, broadcast N fertilization, and less diversified rotation in the semiarid northern Great Plains.","Marta"
6,NA,"not vetted","Transition cropping system impacts on organic wheat yield and quality","Organic wheat and small grains are produced on relatively few acres in the inland Pacific Northwest. The objective of this study was to examine how the nitrogen (N) dynamics of cropping systems (CSs) produced during the transition phase impacted organic wheat yield and protein levels in the first 2 years of certified organic production. Certified organic spring wheat (SW) was produced in 2006 and winter wheat (WW) in 2007 following nine, 3-year transitional cereal, small grain and legume-intensive CSs. SW and WW following perennial alfalfa + oat/pea forage or 3 years of legume green manure tended to be more productive than wheat that followed systems that contained a small grain crop for at least 1 year during the transition. In addition to increasing soil N, well-established stands of forage and green manure provided adequate cover to reduce weed establishment prior to organic production. Effective weed control strategies were as important as increasing soil inorganic N levels for improving organic wheat production. Choice of crop type, cultivar and rotation is important in organic wheat systems and in this study, WW had better stand establishment, competition with weeds and higher overall yield than SW and would be a better-suited class of wheat for organic production in situations where spring weeds are the dominant problem. Regardless of CS or crop type, supplemental soil fertility (primarily N) during the organic production phase will be necessary to maintain high soil N levels and wheat yields in these dryland systems.","Marta"
7,NA,"not vetted","Global cotton weed distribution",NA,"Marta"
8,NA,"not vetted","Spring-planted cover crop effects on weed suppression, crop yield, and net returns in no-tillage dryland crop production","Integrating cover crops (CCs) into dryland crop rotations could provide options for herbicide-resistant (HR) weed control in no-tillage (NT) systems. Field experiments investigatedweed suppression potential of spring-planted CCs and their effects on plant available water, crop yields, and net returns. The CC treatments were implemented during the fallow phase of NT wheat (Triticum aestivum L)-sorghum (Sorghum bicolor Moench)-fallow rotation at two locations: Brownell and Colby, over 3 yr in western Kansas. Treatments were oat-triticale (OT), oat-triticale-pea (Pisum sativum; OTP), spring pea, and fallow. Spring pea aboveground biomass was 3,290 kg ha-1, whereas OT produced 5,640 kg ha- 1 and OTP produced 5,260 kg ha-1. Regardless of location, weed biomass was reduced between 86 and 99% with CCs relative to weedy fallow. Cover crops reduced plant available water at winter wheat planting in three out of the six site-years. Averaged across years, CCs reduced winter wheat yields by 18% compared with fallow at Brownell but not at Colby. Replacing fallow with spring pea increased gross revenue but generated negative net returns because of high cost of herbicide and pea seed. Net return with OT or OTP CCs were negative in four out of six site-years when used strictly for weed suppression. However, net returns were mostly positive when OT ($110-876) or OTP (-$ 110-832) CCs were used as forage. Our results showed replacing fallow with spring-planted CCs for weed suppression in dryland cropping system is profitable only when the CCs are used for forage.","Marta"
9,NA,"not vetted","Is Pasture Cropping a Valid Weed Management Tool?","The aim of the present work was to study the feasibility of pasture cropping under the Mediterranean conditions prevailing in central Spain and its potential as a weed management tool. Three cropping systems were assessed: conventionally grown winter barley and winter barley in pasture cropping with two perennial summer species, Cynodon dactylon and Eragrostis curvula. The results showed that the growth of these two species in a pasture cropping system was limited by the severe drought conditions and high temperatures present during the summer in some of the study years. Although there were no differences in the establishment of winter barley in any of the treatments assessed, pasture cropping reduced winter barley yields up to 50%-60% in years with low rainfall in spring. Regarding weed control, pasture cropping showed a significant suppression of the total weed density and number of weed species. As a conclusion, pasture cropping can be considered as a valid weed management tool. However, the economic feasibility of this system under the climatic conditions of central Spain (characterized by a high risk of severe summer droughts) is still not clear. The availability of supplemental irrigation may reduce competition between pastures and winter crops and ensure a profitable production of summer pastures.","Marta"
10,NA,"not vetted","Economical Evaluation of Reduced Herbicide Doses Application Rates to Control Phalaris brachystachys (Short-Spiked Canary Grass) in a Biennial Wheat-Sunflower Rotation in Mediterranean Dryland: A Modelling Approach","Phalaris brachystachys (short-spiked canary grass) is considered to be among the most troublesome cereal weeds in Mediterranean areas. A bioeconomic model, based on population dynamics, competition and economic sub-models, was developed to simulate the long-term economic consequence of using herbicide-based strategies: no herbicide application, full herbicide dose (standard rate) and two reduced dose rates (75 and 50% of the standard rate) to control P. brachystachys in a biennial wheat-sunflower rotation. Simulation results indicated that only herbicide application at a full dose (90% control) and 3/4 dose (80% control) produced positive economic results, with the full dose being the best strategy (EUR 98.65 ha(-1) year(-1)). A sensitivity analysis showed that the economic outcome, in terms of annualized net return, was strongly influenced by changes in yield, price, and fixed costs. In addition, the annualized net return was more sensitive to parameter changes at reduced herbicide doses than at full rate. In the wheat-sunflower rotation system, the application of the full dose of herbicide was the most economical and stable strategy in the long-term. Reduced doses are not a recommended option from an economic point of view. Bioeconomic models provide practical insight into different management approaches for effective weed control.","Marta"
